scenario,wind_condition,transmission_setting,available_mwh,dispatched_mwh,curtailed_mwh,capacity_mw,curtailment_share_pct
base2,notwindy,fixed,559805.0757613375,559670.0093289285,135.06643240900922,174917.92760899998,0.034665837264798695
base2,windvariability,fixed,1094740.099922213,806746.2661311448,287993.8337910681,174917.92760899998,89.70019648426181
base2,windy,fixed,1918853.3509125472,1078283.6147280023,840569.7361845447,174917.92760899998,137.216375260231
baseTP,notwindy,projects,559995.6066767211,559994.487831203,1.1188455180643542,174917.927609,0.0013290394831627617
baseTP,windvariability,projects,1095544.0619661391,955217.9646255369,140326.0973406023,174917.927609,53.48966295117159
baseTP,windy,projects,1919368.4067095246,1220482.2756597705,698886.1310497541,174917.927609,88.52027022676134
scenario-ext,notwindy,extendable,559995.6066767211,559995.2009593995,0.40571732163177066,174917.927609,0.0004734964349733895
scenario-ext,windvariability,extendable,1055485.9611049835,1005285.3977760889,50200.56332889437,137281.181629,9.45846039434569
scenario-ext,windy,extendable,1919368.4067095246,1232236.6594368385,687131.7472726862,174917.927609,102.72880821939381
scenario1,notwindy,fixed,418017.8175222282,418016.8863764039,0.931145824296129,187587.798481971,0.0013957558752124921
scenario1,windvariability,fixed,1668485.7527459187,1035856.7494698635,632629.0032760553,187587.79848197103,101.83319322836485
scenario1,windy,fixed,2776717.09956381,1180661.798743784,1596055.300820026,187587.79848197103,144.03639613158236
scenario2,notwindy,fixed,429091.8082499764,428442.1929686505,649.615281325994,175424.612319528,0.5357828354556118
scenario2,windvariability,fixed,1401604.2554299824,951981.7079386604,449622.54749132204,175424.612319528,97.75989333115083
scenario2,windy,fixed,2418281.505077998,1181835.207091978,1236446.2979860203,175424.612319528,144.00637758994506
