,scenario,wind_condition,transmission_setting,load_served_MWh,load_shedding_MWh,avg_marginal_price,max_marginal_price,total_co2_emissions,avg_line_loading_pct,max_line_loading_pct,lines_above_60pct,lines_above_70pct
0,base2,notwindy,fixed,1300022.8762130737,,54.523992495872754,143.42946258664574,,11.849893105841904,69.13563699735943,0,0
1,base2,windvariability,fixed,1368958.4066238403,,41.09950719925665,1112.25502745438,,17.016473556631922,69.13554152027953,1,0
2,base2,windy,fixed,1179664.8225402832,,14.581967994811592,253.91588328667888,,15.521746534133001,69.49191944358152,4,0
3,baseTP,notwindy,projects,1300022.8761901855,,52.70079409384434,122.47206323244157,,11.326206272597783,69.13564376560954,0,0
4,baseTP,windvariability,projects,1368958.4066085815,,26.37533868249544,97.93697491601075,,15.005917567357132,68.99537162548994,4,0
5,baseTP,windy,projects,1179664.822731018,,6.509903250341885,63.051391762684766,,15.312982395224276,69.13562469892334,4,0
6,scenario-ext,notwindy,extendable,1300022.8761901855,,51.60651851953258,59.4593091074885,,13.88845751057944,322.7836426368552,3,2
7,scenario-ext,windvariability,extendable,1368958.4066238403,,23.556785830801932,35.99598273380204,,31.33115349768098,348.36938206406296,75,42
8,scenario-ext,windy,extendable,1179664.822731018,,4.727421381045189,19.990407897044015,,24.361829559162526,498.7409101756364,30,10
9,scenario1,notwindy,fixed,1300022.8762130737,,89516.32415684348,100000.00473845124,,7.213350554599257,69.3442797283703,0,0
10,scenario1,windvariability,fixed,1368958.4066238403,,30631.974220654534,100000.01011344302,,28.853339039200605,69.97958111691452,58,0
11,scenario1,windy,fixed,1179664.8225402832,,13.173205131444028,90.02116678673283,,23.926306288119275,69.9720628494624,34,0
12,scenario2,notwindy,fixed,1300022.8762130737,,58.34779233331074,125.50063009252518,,13.104363286783126,69.97162752077996,3,0
13,scenario2,windvariability,fixed,1368958.4066238403,,43.193820693244355,144.21599410103423,,26.189348598645562,69.979428577005,28,0
14,scenario2,windy,fixed,1179664.8225402832,,10.57977088399286,54.031247139763025,,23.562369920031824,69.97513680573164,30,0
